Key,File,Type,UsedInMainMenu,NoTranslate,russian
lootItem,,,,,"[73E9B2][{0}][-] Взять {1}"
tooltipInteract,,,,,"[73E9B2][{0}][-] Использовать {1}"
vendingMachineActivate,,,,,"[73E9B2][{0}][-] Использовать {1}"
useSwitchLightOff,,,,,"[73E9B2][{0}][-] Выключить"
useSwitchLightOn,,,,,"[73E9B2][{0}][-] Включить"
npcTooltipTalk,,,,,"[73E9B2][{0}][-] Поговорить с {1}"
pickupCrops,,,,,"[73E9B2][{{0}}][-] Собрать {0} {1}"
pickupPrompt,,,,,"[73E9B2][{{0}}][-] Взять {0}"
xuiVendingWithOwner,,,,,"Торговый автомат\n[808080]({0})[-]"
xuiLockAmmo,,,,,"Включить"
xuiUnlockAmmo,,,,,"Выключить"
activeBlockPrompt,,,,,"{0}\n[73E9B2] (Активный)[-]"
inactiveBlockPrompt,,,,,"{0}\n[808080] (Неактивный)[-]"
blockcommand_aim,,,,,"Указать направление"
blockcommand_confirm,,,,,"Подтвердить размещение"
blockcommand_do_nothing,,,,,"Ничего не делать"
blockcommand_fuel_add,,,,,"Добавить в контейнер"
blockcommand_fuel_take,,,,,"Залить из контейнера"
blockcommand_repair,,,,,"Ремонтировать"
blockcommand_pick1,,,,,"Взломать\n[808080](Отмычка)[-]"
blockcommand_pick2,,,,,"Взломать\n[808080](Заколка)[-]"
uiNull,,,,,""
uiActionFillFrom,,,,,"[73E9B2][{0}][-] Заполнить с {1}"
uiActionFillTo,,,,,"[73E9B2][{0}][-] Добавить в {1}"
uiActionTake,,,,,"[73E9B2][{0}][-] Взять {1}"
uiActionUse,,,,,"[73E9B2][{0}][-] Использовать {1}"
uiActionUntouched,,,,,"\n[73E9B2] (Нетронутый)[-]"
uiAll,,,,,"Все"
uiAllResearch,,,,,"Все исследования"
uiAmmo,,,,,"Боеприпасы"
uiAmmoAndExplosives,,,,,"Боеприпасы/Взрывчатые вещества"
uiAmmunition,,,,,"Боеприпасы"
uiArmor,,,,,"Броня"
uiAttention,,,,,"Внимание"
uiBackpack,,,,,"Рюкзак"
uiBasicCrafting,,,,,"Ремесло"
uiBiomeName,,,,,"Название биома"
uiBloodMoon,,,,,"Кровавая луна"
uiBlockName,,,,,"{0}"
uiBlockAndMaterialName,,,,,"{1} / {0}"
uiBooksSchematics,,,,,"Книги и схемы"
uiBuffs,,,,,"Баффы"
uiCantPickUpFuelNotEmpty,,,,,"Топливные слоты верстака не пустые!"
uiCantPickUpInputNotEmpty,,,,,"Входные слоты верстака не пустые!"
uiCantPickUpOutputNotEmpty,,,,,"Выходные слоты верстака не пустые!"
uiCantPickUpQueueNotEmpty,,,,,"Слоты очереди верстака не пустые!"
uiCantPickUpToolsNotEmpty,,,,,"Слоты инструментов верстака не пустые!"
uiClothing,,,,,"Одежда"
uiClothingAndArmor,,,,,"Одежда и броня"
uiClothingArmorMods,,,,,"Модификации одежды/брони"
uiColorPickerHex,,,,,"Цвет (Hex)"
uiColorPickerRGB,,,,,"Цвет (RGB)"
uiConfirmPlacement,,,,,"[73E9B2][{{0}}][-] Подтвердить размещение"
uiContainer,,,,,"Контейнер"
uiCopy,,,,,"Копировать"
uiCopyIDToClipboard,,,,,"Копировать ID в буфер обмена"
uiCrafted,,,,,"Создаётся"
uiCraftedIn,,,,,"Создаётся в "
uiCraftingFuel,,,,,"Топливо"
uiCraftingOutput,,,,,"Вывод"
uiCraftingQueue,,,,,"Очередь"
uiCraftingQueueAndOutput,,,,,"Очередь/Вывод"
uiCraftingTools,,,,,"Инструменты"
uiCraftOutput,,,,,"На выходе"
uiCrouching,,,,,"Крадущийся"
uiDescription,,,,,"Описание"
uiDetails,,,,,"Детали"
uiDifficulty,,,,,"Сложность"
ui_door_prefix,,,,," ("
ui_door_suffix,,,,,")"
ui_door_bottom,,,,,"Нижняя дверь"
ui_door_left,,,,,"Левая дверь"
ui_door_middle,,,,,"Средняя дверь"
ui_door_right,,,,,"Правая дверь"
ui_door_top,,,,,"Верхняя дверь"
ui_drawer_bottom,,,,,"Нижний выдвижной ящик"
ui_drawer_left,,,,,"Левый ящик"
ui_drawer_left_bottom,,,,,"Левый нижний ящик"
ui_drawer_left_middle,,,,,"Левый средний ящик"
ui_drawer_left_top,,,,,"Левый верхний ящик"
ui_drawer_middle,,,,,"Средний ящик"
ui_drawer_right,,,,,"Правый ящик"
ui_drawer_right_bottom,,,,,"Правый нижний ящик"
ui_drawer_right_middle,,,,,"Правый средний ящик"
ui_drawer_right_top,,,,,"Правый верхний ящик"
ui_drawer_top,,,,,"Верхний ящик"
ui_drawer_top_middle,,,,,"Верхний средний ящик"
uiExplosives,,,,,"Взрывчатые вещества"
uiExplosivesAndMines,,,,,"Взрывчатые вещества и мины"
uiFeatureInProgress,,,,,"Функция незавершенной работы в настоящее время находится в разработке.\nМожет не работать, ничего не делать или работать частично."
uiFoodAndDrinks,,,,,"Еда и напитки"
uiGameContinue,,,,,"Продолжить игру"
uiGameNew,,,,,"Новая игра"
uiGrowing,,,,,"Рост"
uiHeaderCrafting,,,,,"Ремесло"
uiHeaderCharacter,,,,,"Персонаж"
uiHeaderMap,,,,,"Карта"
uiHeaderSkills,,,,,"Развитие"
uiHeaderQuests,,,,,"Задания"
uiHeaderJournal,,,,,"Журнал"
uiHeaderPlayers,,,,,"Игроки"
uiHeaderCreative,,,,,"Креатив"
uiIngredientHave,,,,,", Имеется: "
uiIngredientInclModded,,,,,"Включая модифицированные"
uiIngredientNeed,,,,,"\nТребуется: "
uiIngredientRetrieve,,,,,"\nВосстанавливаемый:"
uiInspectLockSlot,,,,,"Заблокировать слот инвентаря"
uiInspectStackSingle,,,,,"Бросить по одному предмету за раз"
uiInspectStackSplit,,,,,"Удерж. и перетащите, чтобы взять половину"
uiInspectStackSwap,,,,,"Скинуть или поменять"
uiInspectStackTake,,,,,"Удерж. и перетащите, чтобы взять полностью"
uiInspectStackView,,,,,"Проверить предмет, рецепт или бафф"
uiInteractWithBlock,,,,,"Взаимодействовать с {0}"
uiInventory,,,,,"Инвентарь"
uiItemNotFound,,,,,"Отсутствующий предмет [73E9B2]{0}[-]"
uiItemRequired,,,,,"Требуется {0}"
uiLevelShort,,,,,"УРВ"
uiLockAutoPick,,,,,"Автовзлом"
uiLockAutoPickChance,,,,,"Шанс автовзлома: [decea3]{0}%[-]"
uiLockVeryEasy,,,,,"Очень легко"
uiLockEasy,,,,,"Легко"
uiLockAverage,,,,,"Средне"
uiLockHard,,,,,"Тяжело"
uiLockVeryHard,,,,,"Очень тяжело"
uiLockExtremelyHard,,,,,"Крайне тяжело"
uiLockImpossible,,,,,"Невозможно"
uiLockpickingInsufficient,,,,,"Ваш навык взлома замков [FF1919]{0}[-] недостаточно высок чтобы взломать данный замок (Требуется [decea3]{1}[-])."
uiLockpickingSkillLevel,,,,,"Взлом замков"
uiLockpickingLockLevel,,,,,"Замок"
uiLockpicksLeft,,,,,"У вас есть [decea3]{1}: {0}[-] шт"
uiLockpicksLeftNone,,,,,"У вас отсутствуют [decea3]{0}[-] в инвентаре."
uiLockpicksTooltipKB,,,,,"Используйте клавиши [73E9B2][{0}][-] и [73E9B2][{1}][-] или зажмите [73E9B2][{2}][-] и перетаскивайте [73E9B2][курсор мыши][-] по экрану, чтобы перемещать [decea3]{3}[-]. Затем жмите [73E9B2][{4}][-] чтобы попробовать отпереть."
uiLockpicksTooltipGP,,,,,"Используйте клавиши [73E9B2][{0}][-] и [73E9B2][{1}][-] чтобы передвигать [decea3]{2}[-]. Затем жмите [73E9B2][{3}][-] чтобы попробовать отпереть."
uiMapBedroll,,,,,"Точка сохранения"
uiMapCursor,,,,,"Координаты курсора"
uiMapInfo,,,,,"Информация"
uiMapPlayer,,,,,"Позиция игрока"
uiMapWaypoint,,,,,"Метка"
uiMapWaypoints,,,,,"Метки"
uiMapWaypointsPersonal,,,,,"Личные"
uiMapWaypointsShared,,,,,"Общие"
uiMaterial,,,,,"Материал"
uiMax,,,,,"Макс"
uiMiscellaneous,,,,,"Разное"
uiMissingIngredients,,,,,"[decea3]Недостающие ингредиенты[-]"
uiMissingScrapWires,,,,,"У вас отсутствуют [decea3]обрезки проволоки[-] в инвентаре"
uiMods,,,,,"Модификаторы"
uiMovementSpeed,,,,,"Скорость передвижения"
uiMovementState,,,,,"Состояние движения"
uiNoPower,,,,,"Нет питания"
uiNoSellPrice,,,,,"Не продаётся"
uiNoUpgradesForBlock,,,,,"Блок не может быть обновлён"
uiPatchNotes,,,,,"Новости и последние примечания к патчу"
uiOr,,,,,"или"
uiPerkPoints,,,,,"Очки перков"
uiPlayerEffects,,,,,"Эффекты"
uiPlayerPreview,,,,,"Предпросмотр игрока"
uiPlayerHidePreview,,,,,"Скрыть предпросмотр игрока"
uiPlayerStats,,,,,"Статистика"
uiPlayerStatsCore,,,,,"Основная статистика"
uiPlayerStatsMore,,,,,"Подробнее"
uiPlayerStatsLess,,,,,"Скрыть детали"
uiPlayerStatsAdvanced,,,,,"Дополнительные сведения"
uiPowerOutput,,,,,"Вывод"
uiPowerRemainingFuel,,,,,"Топливо осталось"
uiPowerUsed,,,,,"Используется"
uiPrefabName,,,,,"Название префаба"
uiPricePrefix,,,,,"₽"
uiPrimaryMaterial,,,,,"Первичный материал"
uiQuality,,,,,"Качество"
uiQuality1,,,,,"Б Р А К О В А Н Н О Е"
uiQuality2,,,,,"О Б Ы Ч Н О Е"
uiQuality3,,,,,"Н Е О Б Ы Ч Н О Е"
uiQuality4,,,,,"Р Е Д К О Е"
uiQuality5,,,,,"Э П И Ч Е С К О Е"
uiQuality6,,,,,"Л Е Г Е Н Д А Р Н О Е"
uiQualityPrefix1,,,,,"БРАКОВАННОЕ"
uiQualityPrefix2,,,,,"ОБЫЧНОЕ"
uiQualityPrefix3,,,,,"НЕОБЫЧНОЕ"
uiQualityPrefix4,,,,,"РЕДКОЕ"
uiQualityPrefix5,,,,,"ЭПИЧЕСКОЕ"
uiQualityPrefix6,,,,,"ЛЕГЕНДАРНОЕ"
uiQuestsShared,,,,,"Общие"
uiRadiation,,,,,"Радиация"
uiRayHitBlockName,,,,,"Имя блока"
uiRayHitTileEntity,,,,,"Тип объекта"
uiRepair,,,,,"Ремонт"
uiRepairable,,,,,"Ремонтопригодный"
uiRepairCost,,,,,"Цена ремонта"
uiRepairItem,,,,,"Ремонт с"
uiRequires,,,,,"Требуется"
uiRequiredMaterials,,,,,"Необходимые материалы"
uiRequiredTool,,,,,"Требуемый инструмент"
uiResistance,,,,,"Сопротивление"
uiResistances,,,,,"Сопротивления"
uiRestrictedArea,,,,,"Ограниченная зона"
uiRetrievableComponents,,,,,"Извлекаемые компоненты"
uiRunning,,,,,"Бег"
uiScrapped,,,,,"Разбирается"
uiScrappedIn,,,,,"Разбирается в "
uiScrapMaterial,,,,,"Утильсырьё"
uiSearch,,,,,"Поиск"
uiServiceInfo,,,,,"Информация о сервисе"
uiSettings,,,,,"Настройки"
uiShowOnMap,,,,,"Показать на карте"
uiSignEdit,,,,,"Редактировать текст"
ui_skill_buy,,,,,"Уровень повышен"
ui_skill_cost,,,,,"Стоимость повышения"
ui_skill_exp,,,,,"Опыт навыков"
ui_skill_level,,,,,"Текущий уровень"
ui_skill_points,,,,,"Очки навыка"
uiSkillPoint,,,,,"очко навыков"
uiSkillPoints,,,,,"очка навыков"
ui_skill_points_available,,,,,"Доступные очки навыков"
uiSkillPointsName,,,,,"Очки навыка"
uiSkillBuy,,,,,"Уровень повышен"
uiSkillPointShort,,,,,"очко"
uiSkillPointsShort,,,,,"очка"
uiSortName,,,,,"Сортировать по имени (по возрастанию)"
uiSortGroup,,,,,"Сортировать по названию типа (по возрастанию)"
uiSortPrice,,,,,"Сортировать по цене (по убыванию)"
uiSortWeight,,,,,"Сортировать по весу (по убыванию)"
uiSPCostNext,,,,,"Следующий уровень:"
uiSpeedKMH,,,,," км/ч"
uiSpeedMPH,,,,," миль/ч"
uiStats,,,,,"Статистика"
uiStorage,,,,,"Хранилище"
uiStorageCompartment,,,,,"Площадь"
uiStorageCompartments,,,,,"Области"
uiTabPersonal,,,,,"Личный"
uiTabShared,,,,,"Общий"
uiTeleportEW,,,,,"X (В/З)"
uiTeleportNS,,,,,"Z (С/Ю)"
uiToggleSearch,,,,,"Переключить поиск"
uiTotal,,,,,"Всего: {0}"
uiTraps,,,,,"Ловушки"
uiTransferAll,,,,,"Переместить все предметы\nиз рюкзака в контейнер"
uiTransferAllToBag,,,,,"Взять всё"
uiTransferStackables,,,,,"Переместить все складываемые в стеки предметы\nиз инвентаря в контейнер"
uiTransferStackablesToBag,,,,,"Взять все складываемые в стеки предметы"
uiType,,,,,"Тип"
uiUpgrade,,,,,"Обновление"
uiUpgradeChance,,,,,"Шанс обновления"
uiUpgradeCost,,,,,"Стоимость обновления"
uiUpgradeFail,,,,,"[FF1919]Обновление не удалось[-]"
uiUpgradeMax,,,,,"Дальнейшее обновление невозможно"
uiUpgradeSuccess,,,,,"[73E9B2]Обновление прошло успешно[-]"
uiUpgradeRemoveMods,,,,,"[decea3]Невозможно выполнить обновление с установленными модами[-]"
uiUpgradeRequiresRepairs,,,,,"[decea3]Сначала предмет необходимо отремонтировать[-]"
uiUnderwater,,,,,"Под водой"
uiUnlockedBy,,,,,"Разблокируется в "
uiUnknownIngredient,,,,,"Неизвестный ингредиент"
uiUnlearned,,,,,"Не изучено"
uiUnpinPinnedRecipe,,,,,"Открепить закреплённый рецепт"
uiValue,,,,,"Значение"
uiVehicleCargo,,,,,"Лимит транспорта"
uiVehicleSeats,,,,,"Сиденья"
uiVehicleSlots,,,,,"Транспортные слоты"
uiVehicleConsumption,,,,,"Расход топлива"
uiVehicleFuelEfficiency,,,,,"Эффективность топлива"
uiVehicles,,,,,"Транспорт"
uiVehicleSpeed,,,,,"Скорость"
uiVehicleSpeedTurbo,,,,,"Турбо-скорость"
uiVehicleTank,,,,,"Топливный бак"
uiVersionNewAvailable,,,,,"Обновление доступно"
uiWalking,,,,,"Ходьба"
uiWeaponsMelee,,,,,"Оружие ближнего боя"
uiWeaponsMeleeAndTools,,,,,"Холодное оружие и инструменты"
uiWeaponsRanged,,,,,"Оружие дальнего боя"
uiWeight,,,,,"Вес"
uiServerVersionMissmatch,,,,,"Версия клиента Undead Legacy не соответствует версии сервера"
uiServerVersionUnknown,,,,,"[ff0000]Неизвестно[-]"
statAccuracy,,,,,"Точность"
statAlcohol,,,,,"Алкоголь"
statAlcoholMax,,,,,"Макс алкоголь"
statArmorRating,,,,,"Рейтинг брони"
statAttackSpeed,,,,,"Скорость атаки"
statAttacksPerMinute,,,,,"Атак в минуту"
statBlockDamage,,,,,"Урон блоку"
statBlocksLight,,,,,"???Блоков света"
statCarbs,,,,,"Углеводы"
statCarbsMax,,,,,"Макс углеводов"
statCondition,,,,,"Состояние"
statCoreTemp,,,,,"Температура тела"
statCraftingTier,,,,,"Уровень изготовления"
statCraftingTime,,,,,"Время изготовления"
statCraftingSpeed,,,,,"Скорость изготовления"
statCurrentLife,,,,,"Текущая жизнь"
statDamage,,,,,"Повреждение"
statDeaths,,,,,"Смертей"
statDismemberChance,,,,,"Шанс расчленения"
statDurability,,,,,"Прочность"
statDurabilityMax,,,,,"Максимальная Прочность"
statDurabilityUse,,,,,"Множитель износостойкости"
statEfficiency,,,,,"Эффективность"
statTravelled,,,,,"Пройдено пути"
statDysenteryChance,,,,,"Риск дизентерии"
statEncumbered,,,,,"Обременен"
statEncumbrance,,,,,"Перегрузка"
statEncumbranceBonus,,,,,"Дополнительный лимит переноса"
statExpRate,,,,,"Бонус опыта"
statExpToNextLevel,,,,,"До след. уровня"
statFat,,,,,"Жир"
statFatMax,,,,,"Макс жир"
statFireRate,,,,,"Скорострельность"
statFood,,,,,"Еда"
statFoodMax,,,,,"Макс Еда"
statFoodRate,,,,,"Скорость сжигания пищи"
statFuel,,,,,"Топливо"
statGas,,,,,"Газ"
statHandling,,,,,"Обработка"
statHealing,,,,,"Выздоровление"
statHealth,,,,,"Здоровье"
statHealthMax,,,,,"Максимальное здоровье"
statHealthRegen,,,,,"Восст. здоровья"
statItemsCrafted,,,,,"Сделано предметов"
statJumpStrength,,,,,"Высота прыжка"
statKilledPlayers,,,,,"Убито игроков"
statKilledZombies,,,,,"Убито зомби"
statLoad,,,,,"Груз"
statLockpicking,,,,,"Взлом"
statLongestLife,,,,,"Самая долгая жизнь"
statLootStage,,,,,"Стадия добычи"
statMagazineSize,,,,,"Магазин"
statMobility,,,,,"Подвижность"
statModificationSlots,,,,,"Слоты"
statPoisonChance,,,,,"Риск пищевого отравления"
statPower,,,,,"Мощность"
statPowerEfficiency,,,,,"Энергоэффективность"
statProtein,,,,,"Протеин"
statProteinMax,,,,,"Макс протеин"
statRange,,,,,"Спектр"
statRecoil,,,,,"Отдача"
statReloadSpeed,,,,,"Скорость перезарядки"
statResistBleeding,,,,,"Сопротивление кровотечению"
statResistCold,,,,,"Холодоустойчивость"
statResistDiseases,,,,,"Устойчивость к болезням"
statResistFallDamage,,,,,"Снижение урона при падении"
statResistHeat,,,,,"Теплоустойчивость"
statResistPhysical,,,,,"Показатель брони"
statResistRadiation,,,,,"Радиационная стойкость"
statResistStun,,,,,"Сопротивление оглушению"
statResistToxic,,,,,"Токсическая стойкость"
statRoundsPerMinute,,,,,"Скорость атаки дальнего боя"
statStamina,,,,,"Выносливость"
statStaminaMax,,,,,"Макс выносливость"
statStaminaRegen,,,,,"Восст. выносливости"
statStopsBleeding,,,,,"Останавливает кровотечение"
statStopsLaceration,,,,,"Останавливает разрыв"
statStopsBrokenLimbs,,,,,"Лечит сломанные конечности"
statTreasureRadius,,,,,"Радиус сокровищ"
statVitamins,,,,,"Витамины"
statVitaminsMax,,,,,"Макс витаминов"
statWater,,,,,"Вода"
statWaterMax,,,,,"Макс воды"
statWaterRate,,,,,"Скорость сжигания воды"
statWeight,,,,,"Вес"
statWeightMax,,,,,"Предел переносимого веса"
statWellness,,,,,"Здоровье"
statWellnessMax,,,,,"Максимальное здоровье"
statWellnessRate,,,,,"Оценка здоровья"
tt_belongs_to_other_player,,,,,"Это принадлежит кому-то другому"
tt_empty_before_pickup,,,,,"Чтобы забрать контейнер, он должен быть пустым."
tt_container_is_full,,,,,"Контейнер полон, больше добавить нельзя."
tt_not_enough_substance,,,,,"Недостаточно залить этот предмет."
tt_no_compatible_items,,,,,"У меня в руке нет ничего совместимого, чтобы с ним взаимодействовать."
type1hAxes,,,,,"Одноручный топор"
type1hBlades,,,,,"Одноручное клинковое"
type1hBlunt,,,,,"Одноручное дробящее"
type1hKnives,,,,,"Одноручный нож"
type2hAxes,,,,,"Двуручный топор"
type2hMelee,,,,,"Двуручное, ближний бой"
type4x4,,,,,"Автомобиль | Транспорт"
typeadvBuilding,,,,,"Дополнительно"
typeAmmo,,,,,"Боеприпасы"
typeAmmoWeapons,,,,,"Боеприпасы/Оружие"
typeAmmunition,,,,,"Боеприпасы"
typeApparel,,,,,"Одежда"
typeArmor,,,,,"Броня"
typeAutomotive,,,,,"Автомобильная промышленность"
typeBasics,,,,,"Базовый"
typeBatons,,,,,"Дубинка"
typeBeams,,,,,"Балки"
typeBicycles,,,,,"Велосипед | Транспорт"
typeBladeLong,,,,,"Длинный клинок"
typeBladeShort,,,,,"Короткий клинок"
typeBlunt,,,,,"Дробящее"
typeBluntLong,,,,,"Длинное дробящее"
typeBluntShort,,,,,"Короткое дробящее"
typeBlocks,,,,,"Блок"
typeBooks,,,,,"Книга"
typeBows,,,,,"Лук"
